Starting training from scratch with 39-dim architecture.
Connected to Godot at 127.0.0.1:4242
Ep: 212 | Steps: 1000 | Total Reward: -22266.96 | Avg: -22.2670

--- Updating Brain (Step 132000) ---
Ep: 213 | Steps: 1000 | Total Reward: -36906.11 | Avg: -36.9061
Ep: 214 | Steps: 1000 | Total Reward: -33347.11 | Avg: -33.3471
Ep: 215 | Steps: 1000 | Total Reward: -24840.84 | Avg: -24.8408
Step Error: [WinError 10054] An existing connection was forcibly closed by the remote host
Ep: 216 | Steps: 689 | Total Reward: -18502.46 | Avg: -26.8541
Connected to Godot at 127.0.0.1:4242
Ep: 217 | Steps: 1000 | Total Reward: -44633.18 | Avg: -44.6332

--- Updating Brain (Step 136000) ---
Ep: 218 | Steps: 1000 | Total Reward: -27212.97 | Avg: -27.2130
Ep: 219 | Steps: 1000 | Total Reward: -12129.54 | Avg: -12.1295
Ep: 220 | Steps: 1000 | Total Reward: -17246.13 | Avg: -17.2461
Ep: 221 | Steps: 1000 | Total Reward: -13138.71 | Avg: -13.1387

--- Updating Brain (Step 140000) ---
Ep: 222 | Steps: 1000 | Total Reward: -19271.42 | Avg: -19.2714
Ep: 223 | Steps: 1000 | Total Reward: -13649.99 | Avg: -13.6500
Ep: 224 | Steps: 966 | Total Reward: -63771.42 | Avg: -66.0160
Ep: 225 | Steps: 36 | Total Reward: -2673.95 | Avg: -74.2764
Ep: 226 | Steps: 54 | Total Reward: -310.46 | Avg: -5.7493
Ep: 227 | Steps: 13 | Total Reward: -157.55 | Avg: -12.1191
Ep: 228 | Steps: 22 | Total Reward: -192.73 | Avg: -8.7603
Ep: 229 | Steps: 150 | Total Reward: -1222.62 | Avg: -8.1508
Ep: 230 | Steps: 62 | Total Reward: -2891.72 | Avg: -46.6406
Ep: 231 | Steps: 216 | Total Reward: -23092.95 | Avg: -106.9118
Ep: 232 | Steps: 65 | Total Reward: -5697.78 | Avg: -87.6582
Ep: 233 | Steps: 32 | Total Reward: -3024.12 | Avg: -94.5038
Ep: 234 | Steps: 59 | Total Reward: -9231.76 | Avg: -156.4706
Ep: 235 | Steps: 98 | Total Reward: -1281.65 | Avg: -13.0780
